file_name,lisence
PMC001xxxxxx/PMC1043859.xml,CC BY
PMC001xxxxxx/PMC1043860.xml,CC BY
PMC001xxxxxx/PMC1043861.xml,CC BY
PMC001xxxxxx/PMC1043862.xml,CC BY
PMC001xxxxxx/PMC1044830.xml,CC BY
PMC001xxxxxx/PMC1044831.xml,CC BY
PMC001xxxxxx/PMC1044832.xml,CC BY
PMC001xxxxxx/PMC1044833.xml,CC BY
PMC001xxxxxx/PMC1044834.xml,CC BY
PMC001xxxxxx/PMC1044835.xml,CC BY
PMC001xxxxxx/PMC1044836.xml,CC BY
PMC001xxxxxx/PMC1044837.xml,CC BY
PMC001xxxxxx/PMC1044838.xml,CC BY
PMC001xxxxxx/PMC1044839.xml,CC BY
PMC001xxxxxx/PMC1044840.xml,CC BY
PMC001xxxxxx/PMC1044841.xml,CC BY
PMC001xxxxxx/PMC1054879.xml,CC BY
PMC001xxxxxx/PMC1054880.xml,CC BY
PMC001xxxxxx/PMC1054881.xml,CC BY
PMC001xxxxxx/PMC1054882.xml,CC BY
PMC001xxxxxx/PMC1054883.xml,CC BY
PMC001xxxxxx/PMC1054884.xml,CC BY
PMC001xxxxxx/PMC1054885.xml,CC BY
PMC001xxxxxx/PMC1054886.xml,CC BY
PMC001xxxxxx/PMC1054887.xml,CC BY
PMC001xxxxxx/PMC1054888.xml,CC BY
PMC001xxxxxx/PMC1054889.xml,CC BY
PMC001xxxxxx/PMC1054890.xml,CC BY
PMC001xxxxxx/PMC1054891.xml,CC BY
PMC001xxxxxx/PMC1059451.xml,CC BY
PMC001xxxxxx/PMC1059452.xml,CC BY
PMC001xxxxxx/PMC1062889.xml,CC BY
PMC001xxxxxx/PMC1064074.xml,CC BY
PMC001xxxxxx/PMC1064075.xml,CC BY
PMC001xxxxxx/PMC1064076.xml,CC BY
PMC001xxxxxx/PMC1064077.xml,CC BY
PMC001xxxxxx/PMC1064078.xml,CC BY
PMC001xxxxxx/PMC1064080.xml,CC BY
PMC001xxxxxx/PMC1064081.xml,CC BY
PMC001xxxxxx/PMC1064082.xml,CC BY
PMC001xxxxxx/PMC1064084.xml,CC BY
PMC001xxxxxx/PMC1064093.xml,CC BY
PMC001xxxxxx/PMC1064094.xml,CC BY
PMC001xxxxxx/PMC1064095.xml,CC BY
PMC001xxxxxx/PMC1064097.xml,CC BY
PMC001xxxxxx/PMC1064098.xml,CC BY
PMC001xxxxxx/PMC1064099.xml,CC BY
PMC001xxxxxx/PMC1064100.xml,CC BY
PMC001xxxxxx/PMC1064101.xml,CC BY
PMC001xxxxxx/PMC1064102.xml,CC BY
PMC001xxxxxx/PMC1064103.xml,CC BY
PMC001xxxxxx/PMC1064104.xml,CC BY
PMC001xxxxxx/PMC1064105.xml,CC BY
PMC001xxxxxx/PMC1064108.xml,CC BY
PMC001xxxxxx/PMC1064109.xml,CC BY
PMC001xxxxxx/PMC1064111.xml,CC BY
PMC001xxxxxx/PMC1064114.xml,CC BY
PMC001xxxxxx/PMC1064115.xml,CC BY
PMC001xxxxxx/PMC1064126.xml,CC BY
PMC001xxxxxx/PMC1064127.xml,CC BY
PMC001xxxxxx/PMC1064128.xml,CC BY
PMC001xxxxxx/PMC1064129.xml,CC BY
PMC001xxxxxx/PMC1064130.xml,CC BY
PMC001xxxxxx/PMC1064131.xml,CC BY
PMC001xxxxxx/PMC1064132.xml,CC BY
PMC001xxxxxx/PMC1064134.xml,CC BY
PMC001xxxxxx/PMC1064135.xml,CC BY
PMC001xxxxxx/PMC1064136.xml,CC BY
PMC001xxxxxx/PMC1064138.xml,CC BY
PMC001xxxxxx/PMC1064139.xml,CC BY
PMC001xxxxxx/PMC1064140.xml,CC BY
PMC001xxxxxx/PMC1064849.xml,CC0
PMC001xxxxxx/PMC1064850.xml,CC BY
PMC001xxxxxx/PMC1064851.xml,CC BY
PMC001xxxxxx/PMC1064852.xml,CC BY
PMC001xxxxxx/PMC1064853.xml,CC BY
PMC001xxxxxx/PMC1064854.xml,CC BY
PMC001xxxxxx/PMC1064855.xml,CC BY
PMC001xxxxxx/PMC1064856.xml,CC BY
PMC001xxxxxx/PMC1064857.xml,CC BY
PMC001xxxxxx/PMC1064858.xml,CC BY
PMC001xxxxxx/PMC1064859.xml,CC BY
PMC001xxxxxx/PMC1064860.xml,CC BY
PMC001xxxxxx/PMC1064861.xml,CC BY
PMC001xxxxxx/PMC1064864.xml,CC BY
PMC001xxxxxx/PMC1064865.xml,CC BY
PMC001xxxxxx/PMC1064866.xml,CC BY
PMC001xxxxxx/PMC1064867.xml,CC BY
PMC001xxxxxx/PMC1064868.xml,CC BY
PMC001xxxxxx/PMC1064871.xml,CC BY
PMC001xxxxxx/PMC1064873.xml,CC BY
PMC001xxxxxx/PMC1064878.xml,CC BY
PMC001xxxxxx/PMC1064879.xml,CC BY
PMC001xxxxxx/PMC1064880.xml,CC BY
PMC001xxxxxx/PMC1064881.xml,CC BY
PMC001xxxxxx/PMC1064882.xml,CC BY
PMC001xxxxxx/PMC1064883.xml,CC BY
PMC001xxxxxx/PMC1064884.xml,CC BY
